model_id,maximum_seating
243591393,7
243596952,7
243618259,5
243619475,5
243639068,7
243641281,2
243648282,8
243656044,5
243666744,8
243675257,5
243675544,5
243690002,5
243695366,5
243697473,5
243705943,8
243707760,7
243708523,8
243723134,7
243728427,5
243735629,
243745156,
243761601,
243774310,5
243800284,9
243802927,8
243812063,7
243812066,7
243817871,5
243827084,5
243838800,5
243838801,5
243870026,7
243883616,7
243889442,7
243896531,8
243920035,7
243928317,5
243934462,7
243940802,5
243949173,5
243967514,5
243981905,15
243986883,5
243997265,5
244001131,7
244001138,7
244012624,2
244025496,7
244041610,5
244052238,7
244056511,7
244060745,5
244067369,8
244067384,8
244073109,5
244079674,5
244086402,3
244099835,5
244102242,8
244105404,5
244113913,8
244144460,2
244144462,2
244153455,5
244155473,2
244166080,7
244184754,7
244188066,7
244188215,7
244188245,2
244208638,2
244216360,7
244257844,5
244257856,5
244259385,2
244266477,7
244271499,12
244292572,5
244307173,2
244322592,5
244335481,5
244345468,5
244346241,15
244352568,5
244354204,7
244365415,5
244369231,2
244369232,2
244375654,
244390734,5
244399934,5
244404927,2
244406885,5
244415458,7
244424122,7
244426257,2
244450021,
244450022,5
244454030,5
244454031,5
244459157,2
244460254,7
244460257,5
244463404,7
244464940,7
244472771,5
244480036,5
244487977,5
244488824,5
244490379,5
244519035,5
244519707,7
244534684,5
244539733,8
244544666,7
244544824,5
244588291,2
244588294,2
244608843,7
244613388,5
244617805,7
244636305,5
244638405,5
244638744,
244648107,5
244654635,5
244657533,7
244684326,5
244691604,5
244691725,5
244695082,5
244695106,5
244706118,4
244710386,2
244711879,7
244724354,7
244744374,5
244746055,5
244746096,5
244746136,5
244746174,5
244747616,2
244757304,5
244768155,5
244783803,7
244791461,5
244809337,2
244818670,7
244822696,8
244868642,7
244894007,5
244901875,5
244910673,5
244929946,5
244933112,5
244945517,7
244957289,5
244970361,5
245000816,12
245018115,5
245020006,5
245024297,5
245033519,5
245035965,5
245044673,5
245045931,5
245046422,2
245046425,2
245057593,5
245065873,8
245067962,5
245068774,5
245068775,5
245082089,5
245082100,5
245090854,5
245090857,7
245099758,5
245099763,5
245104960,7
245106208,7
245122302,5
245131167,7
245131176,7
245134688,5
245150040,7
245154663,7
245168038,5
245170054,8
245180487,8
245188177,2
245204598,5
245208103,7
245214747,5
245235794,5
245253549,8
245261066,7
245275067,7
245296741,5
245297584,5
245303403,2
245304209,7
245306220,2
245326240,7
245332640,8
245347048,7
245360023,7
245368764,8
245369248,2
245375258,5
245381272,5
245385470,5
245394064,5
245396619,8
245403501,2
245416995,2
245419680,7
245429381,7
245451003,7
245461232,5
245461447,5
245472013,6
245476665,8
245476674,8
245482598,2
245484696,5
245485320,5
245489692,5
245498907,5
245499178,5
245517614,5
245522501,5
245522503,5
245525529,7
245527333,7
245538722,5
245538725,7
245567354,8
245570071,15
245574469,2
245574470,2
245586798,12
245596029,5
245607844,7
245611638,8
245620814,3
245625931,8
245632436,8
245633297,7
245639407,7
245644058,7
245646441,5
245646462,5
245658431,7
245668533,5
245670346,7
245688650,7
245692714,2
245710334,8
245717978,5
245725177,5
245729690,5
245761205,5
245769632,5
245781922,5
245800245,7
245813576,5
245814054,5
245814131,7
245814228,5
245814677,5
245817719,5
245837186,5
245837285,5
245839730,5
245859339,5
245859451,5
245866810,2
245875270,7
245880160,
245891621,7
245892564,7
245911279,5
245918582,7
245932126,8
245932130,8
245936657,
245941398,5
245942579,7
245948717,2
245950875,5
245951328,5
245956858,7
245958482,8
245981165,7
245981166,2
245981373,6
245984094,2
245987896,5
245988732,7
245990676,5
246017414,6
246018710,5
246021297,7
246034035,6
246043518,7
246053278,6
246056916,7
246061954,2
246071264,5
246071468,8
246074475,5
246079760,5
246080699,5
246093289,5
246100901,5
246100903,5
246103140,5
246107447,5
246113877,7
246137268,5
246159141,5
246174722,5
246180858,5
246189151,5
246189620,7
246193278,7
246198413,5
246200048,7
246206270,5
246207112,7
246213151,5
246213154,7
246217172,7
246250356,5
246253027,7
246268889,5
246275627,5
246279171,7
246279172,7
246284147,2
246285776,12
246289644,8
246295823,2
246304827,5
246323506,5
246323655,
246324458,2
246324461,2
246336572,7
246350651,5
246350665,5
246369023,7
246376112,5
246384950,2
246389228,7
246412657,8
246432733,5
246446891,5
246450792,5
246455298,8
246458152,5
246461126,7
246469735,8
246472708,8
246502841,5
246509445,5
246510099,7
246510125,5
246537552,5
246539029,5
246542857,7
246549259,5
246551770,7
246556598,2
246558536,5
246568371,5
246584458,2
246584463,2
246584470,2
246590834,5
246595302,8
246598990,7
246600035,7
246603864,
246617162,7
246623213,7
246628980,2
246633045,7
246641577,7
246643901,6
246647691,5
246661047,5
246661170,2
246685457,7
246690030,7
246721192,5
246722022,8
246722050,8
246727509,5
246745459,5
246749531,7
246754838,4
246757309,7
246765071,5
246765072,5
246765139,5
246771059,5
246774689,5
246776613,3
246808104,7
246810528,8
246818499,8
246821247,7
246821249,7
246825156,5
246834589,5
246842384,8
246871212,5
246872364,5
246894604,
246896475,5
246897582,7
246900216,5
246903481,5
246907134,5
246907969,8
246911171,7
246919583,7
246921096,5
246922337,7
246922747,5
246923668,7
246932379,7
246933225,5
246936657,5
246937441,7
246944402,5
246949977,5
246952927,5
246959151,8
246974770,5
246976971,7
246980662,7
246987984,2
246990295,7
246991797,5
247001590,8
247012848,5
247018224,7
247019646,8
247022966,7
247035262,5
247037052,5
247037562,2
247040610,5
247053557,5
247058227,2
247089539,5
247090049,5
247109003,7
247110538,8
247111479,5
247126345,5
247130608,5
247130609,5
247130611,5
247132969,5
247142074,7
247142432,7
247155630,7
247162983,5
247167752,5
247173439,
247183978,2
247184994,5
247186086,5
247196357,3
247201414,8
247203481,5
247209496,7
247221764,8
247223562,7
247223566,7
247226650,5
247227975,5
247228204,3
247247599,8
247249301,5
247258720,5
247264308,5
247267345,7
247276307,5
247279704,7
247286687,5
247287275,5
247289379,8
247306394,12
247316217,5
247316418,5
247323264,5
247332344,7
247336702,5
247338225,7
247342165,2
247344506,7
247344513,7
247348865,5
247349200,5
247349221,5
247365600,7
247366048,5
247380159,5
247380538,8
247380543,8
247413418,7
247417831,
247433640,7
247438008,5
247439790,7
247439806,8
247441355,5
247452303,5
247455157,8
247457616,5
247460051,5
247470173,5
247478706,8
247488893,5
247498280,7
247516264,5
247525023,7
247527758,7
247530041,5
247548359,5
247550315,7
247581370,7
247581379,2
247583118,5
247583906,5
247585316,5
247603744,8
247609767,5
247610134,15
247611141,8
247611233,5
247617930,5
247623300,5
247626435,7
247628360,5
247634153,7
247636087,5
247649768,5
247652643,5
247660828,7
247663293,7
247679230,8
247681392,5
247685857,5
247685858,5
247685863,5
247693394,5
247725948,5
247730313,5
247732280,5
247737631,5
247754702,5
247772707,5
247773415,5
247781031,5
247785258,7
247789641,7
247792144,5
247792235,5
247796372,8
247797604,8
247802094,5
247806062,7
247815894,5
247819214,5
247831168,
247846660,5
247853785,7
247865803,5
247865807,5
247874814,5
247876085,5
247881379,7
247881401,7
247881407,7
247881481,2
247889945,8
247907773,8
247920477,5
247921766,7
247921767,5
247922123,5
247928301,7
247928307,7
247929415,5
247929422,5
247929435,5
247931074,5
247931856,8
247931859,5
247931862,5
247931865,8
247931867,5
247931870,8
247931872,5
247931873,7
247931874,5
247931875,5
247931876,8
247931877,7
247931878,5
247931880,5
247931881,7
247931883,7
247931887,7
247931896,5
247931898,7
247931899,5
247931900,8
247931902,7
247931905,5
247931907,7
247931908,5
247931910,7
247931911,7
247931913,7
247931915,5
247931919,8
247931922,7
247931924,8
247931925,7
247931927,8
247931929,5
247931931,7
247931937,7
247931940,5
247931941,7
247931949,5
247931952,8
247931953,7
247931956,5
247931957,8
247931960,5
247931962,7
247931963,5
247931965,5
247931967,5
247931970,5
247931971,4
247931973,5
247931976,5
247931986,5
247931987,5
247931993,5
247931994,7
247931996,7
247931997,
247931999,5
247932000,5
247932001,5
247932002,7
247932011,5
247932012,8
247932018,5
247932022,7
247932023,5
247932024,5
247932030,5
247935230,5
247935947,7
247935949,5
247935978,5
247935983,8
247935987,5
247935995,5
247935996,
247936004,7
247936020,5
247936029,7
247936030,5
247936051,7
247936055,8
247936063,5
247936066,5
247936069,5
247936072,5
247936074,5
247936082,5
247936101,5
247936110,5
247936120,7
247936126,5
247936136,5
247936148,6
247936169,7
247936183,5
247936187,7
247936195,8
247936197,5
247936198,7
247936207,5
247936217,8
247936227,5
247936228,5
247936230,7
247936241,5
247936254,5
247936255,5
247936258,8
247936259,5
247936268,7
247936276,5
247936284,5
247936292,5
247936294,5
247936306,5
247936334,5
247936336,7
247936339,5
247936357,5
247938292,7
247938293,5
247944521,8
247958532,
247958570,2
247958638,
247958674,2
247961881,5
247962166,5
247970615,5
247974729,2
247975015,5
247980116,7
247986445,7
247986447,7
247986459,7
247993879,5
247995484,7
247995653,7
248004373,5
248006204,5
248013252,8
248031984,8
248034347,5
248047307,5
248047606,5
248048758,5
248049906,9
248050534,7
248057169,7
248057200,7
248061436,8
248061443,
248062294,5
248062538,8
248074199,2
248085065,7
248089310,3
248093846,5
248097845,5
248098058,5
248107742,5
248114076,7
248121111,5
248121209,8
248131120,5
248131121,5
248133162,5
248141084,5
248141423,
248141429,
248143267,8
248144215,8
248144245,12
248149637,3
248150286,5
248150692,5
248152247,
248165677,5
248166506,5
248170625,5
248173441,8
